Accel X(g),Accel Y(g),Accel Z(g),Gyro X(rad/s),Gyro Y(rad/s),Gyro Z(rad/s)
0.18,-0.03,1.12,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,-0.00
0.17,-0.04,1.11,-0.02,-0.02,-0.00
0.17,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.03,1.11,-0.02,-0.02,0.00
0.19,-0.04,1.12,-0.01,-0.02,-0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.02,-0.02,-0.00
0.17,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.12,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.01,-0.02,0.00
0.16,-0.05,1.11,-0.01,-0.02,-0.00
0.16,-0.05,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.12,-0.02,-0.02,-0.00
0.18,-0.03,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.01,-0.02,-0.00
0.18,-0.04,1.12,-0.02,-0.02,0.00
0.17,-0.04,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.03,1.12,-0.01,-0.02,-0.00
0.18,-0.04,1.11,-0.01,-0.02,-0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.01,-0.02,-0.00
0.17,-0.05,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.19,-0.03,1.11,-0.01,-0.02,-0.00
0.18,-0.04,1.12,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.03,1.11,-0.01,-0.02,-0.00
0.18,-0.04,1.12,-0.01,-0.02,-0.00
0.17,-0.04,1.12,-0.01,-0.02,0.00
0.16,-0.05,1.11,-0.02,-0.02,0.00
0.16,-0.05,1.11,-0.02,-0.02,0.00
0.17,-0.05,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.12,-0.02,-0.02,0.00
0.18,-0.04,1.12,-0.01,-0.02,-0.00
0.17,-0.04,1.11,-0.01,-0.02,0.00
0.16,-0.05,1.11,-0.02,-0.02,0.00
0.17,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.19,-0.03,1.12,-0.01,-0.02,0.00
0.18,-0.04,1.12,-0.01,-0.02,-0.00
0.17,-0.04,1.12,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.02,-0.02,-0.00
0.17,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.12,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,-0.00
0.17,-0.05,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.12,-0.02,-0.02,-0.00
0.19,-0.03,1.12,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.02,-0.02,-0.00
0.17,-0.04,1.11,-0.02,-0.02,0.00
0.17,-0.04,1.12,-0.02,-0.02,-0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.01,-0.02,-0.00
0.16,-0.05,1.11,-0.02,-0.02,-0.00
0.17,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.01,-0.02,0.00
0.16,-0.05,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.11,-0.02,-0.02,-0.00
0.18,-0.04,1.12,-0.02,-0.02,0.00
0.19,-0.04,1.11,-0.01,-0.02,0.00
0.18,-0.04,1.12,-0.01,-0.02,-0.00
0.18,-0.04,1.11,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.01,-0.02,0.00
0.17,-0.05,1.11,-0.02,-0.02,0.00
0.18,-0.04,1.12,-0.02,-0.02,0.00
