rawX,rawY,rawZ,ax_corr(g),ay_corr(g),az_corr(g),gx_corr(rad/s),gy_corr, gz_corr
352,928,16906,0.021,0.076,0.991,-0.008,-0.007,-0.001
356,910,16862,0.022,0.076,0.988,-0.008,-0.008,-0.000
398,918,16898,0.024,0.076,0.990,-0.009,-0.009,-0.001
374,942,16878,0.023,0.077,0.990,-0.007,-0.009,-0.001
382,928,16932,0.024,0.077,0.993,-0.008,-0.008,-0.001
382,932,16910,0.023,0.077,0.991,-0.009,-0.007,0.000
372,928,16874,0.023,0.076,0.989,-0.008,-0.009,0.000
344,932,16882,0.020,0.077,0.991,-0.008,-0.009,-0.001
364,892,16862,0.023,0.074,0.989,-0.009,-0.007,-0.000
382,878,16850,0.024,0.074,0.988,-0.008,-0.009,-0.001
364,962,16912,0.022,0.079,0.993,-0.009,-0.010,0.000
368,972,16962,0.023,0.079,0.994,-0.009,-0.009,-0.001
388,932,16860,0.024,0.077,0.989,-0.008,-0.009,-0.001
386,936,16920,0.024,0.077,0.993,-0.009,-0.009,-0.000
352,918,16842,0.021,0.076,0.988,-0.007,-0.009,-0.001
360,908,16860,0.022,0.075,0.990,-0.008,-0.009,-0.001
358,916,16926,0.021,0.076,0.992,-0.009,-0.008,-0.000
366,896,16880,0.022,0.075,0.990,-0.008,-0.008,-0.000
384,914,16858,0.023,0.076,0.989,-0.008,-0.009,-0.001
384,936,16914,0.023,0.077,0.992,-0.009,-0.009,-0.001
366,898,16886,0.022,0.076,0.990,-0.007,-0.009,-0.000
362,922,16904,0.022,0.076,0.991,-0.007,-0.009,-0.001
368,914,16896,0.022,0.076,0.991,-0.009,-0.009,-0.001
390,926,16902,0.023,0.076,0.991,-0.008,-0.010,0.000
382,926,16918,0.023,0.076,0.993,-0.009,-0.009,-0.000
336,906,16842,0.020,0.076,0.988,-0.007,-0.009,-0.001
352,918,16870,0.021,0.076,0.988,-0.007,-0.008,-0.001
364,910,16916,0.022,0.076,0.992,-0.007,-0.007,0.000
358,1020,16942,0.021,0.082,0.994,-0.007,-0.007,-0.000
